Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,448,469,654,657,663,716,653,660,639,597,543,428
2012,523,508,716,713,741,708,678,726,649,626,502,463
2013,577,560,689,829,817,779,715,714,718,657,548,455
2014,588,600,720,814,890,885,781,773,791,731,649,580
2015,633,639,767,907,958,913,897,965,878,839,741,662
2016,678,764,860,969,1037,1013,942,966,846,802,786,651
2017,759,710,871,937,1008,1006,912,933,833,849,731,641
2018,722,721,837,968,1085,1014,1017,973,893,901,775,681
2019,831,747,917,1111,1083,1179,1092,1076,995,925,766,748
2020,812,757,540,510,1970,2124,1291,1010,1000,1016,793,485
2021,682,894,980,1372,,,,,,,,
