Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,302,347,371,367,287,336,314,355,353,394,324,306
2012,342,330,424,490,396,421,455,377,358,452,386,311
2013,368,476,482,529,428,448,489,447,469,467,404,387
2014,446,492,553,683,634,605,611,648,616,610,513,492
2015,650,652,664,769,653,606,748,673,620,700,619,533
2016,604,675,738,782,680,705,713,750,656,628,602,510
2017,586,790,684,896,809,745,820,837,665,697,738,646
2018,773,779,862,994,879,921,998,929,966,884,870,810
2019,959,865,946,1045,934,855,921,860,861,815,806,635
2020,706,787,542,433,661,818,830,757,763,770,715,533
2021,581,804,1019,1470,,,,,,,,
