Year,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Jan,13.7%,12.1%,12.2%,9.4%,9.5%,7.7%,8.0%,6.7%,6.3%,6.2%,15.3%
Feb,13.6%,11.8%,11.3%,10.3%,8.5%,6.9%,7.0%,6.7%,6.1%,5.9%,12.7%
Mar,12.5%,11.2%,10.7%,10.3%,8.2%,7.4%,6.3%,5.7%,5.7%,7.9%,12.7%
Apr,11.7%,10.0%,9.7%,8.1%,7.6%,6.9%,5.9%,5.5%,4.4%,37.3%,10.7%
May,10.6%,9.7%,10.8%,8.4%,8.2%,6.7%,6.3%,5.1%,5.0%,33.9%,9.9%
Jun,11.2%,10.0%,11.2%,8.6%,7.9%,6.8%,6.7%,6.1%,5.2%,26.6%,0.0%
Jul,11.5%,9.9%,10.7%,8.0%,8.4%,6.2%,5.2%,5.2%,5.7%,23.9%,0.0%
Aug,10.6%,10.8%,9.8%,7.9%,7.8%,6.8%,5.5%,5.8%,4.8%,20.8%,0.0%
Sep,11.6%,9.7%,8.9%,8.0%,7.8%,6.6%,5.0%,5.3%,4.7%,18.0%,0.0%
Oct,10.9%,10.2%,8.9%,8.8%,8.2%,6.6%,5.8%,5.3%,5.4%,15.9%,0.0%
Nov,11.2%,10.4%,8.7%,8.3%,7.3%,7.2%,6.6%,5.3%,4.8%,14.6%,0.0%
Dec,10.5%,10.9%,8.7%,7.7%,7.3%,6.5%,6.2%,5.8%,5.0%,16.4%,0.0%
